Supplementary Table І,,,,,,,,,,,,,,,,,,
Detailed Informaion of Materials,,,,,,,,,,,,,,,,,,
No.,Chemical composition (wt%),,,,,,,Fabrication Processes,,,,,,,,,,
,Zn,Mg,Cu,Zr,Ti,Fe,Si,Casting Types,,Homogenization (℃/h),Extrusion,Solution Treatment (℃/h),Aging (℃/h),Tensile properties,,,Remarks,Specimens
,,,,,,,,Permanent mold,Billet,,O/X,,,YS (MPa),TS (MPa),EL (%),,
52,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,25/5000,542,674,14.8 ,Ti-added,7068
53,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,80/200,650,717,17.0 ,Ti-added,7068
54,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,80/200,652,718,16.4 ,Ti-added,7068
55,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,120/24,664,695,16.0 ,Ti-added,7068
56,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,120/24,667,703,16.5 ,Ti-added,7068
57,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/0.16,491,605,20.6 ,Ti-added,7068
58,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/0.16,505,618,19.9 ,Ti-added,7068
59,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/1,613,664,17.2 ,Ti-added,7068
60,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/1,610,655,15.5 ,Ti-added,7068
61,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/8,654,672,13.7 ,Ti-added,7068
62,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/8,651,670,15.0 ,Ti-added,7068
63,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/8,638,659,13.3 ,Ti-added,7068
64,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/8,639,658,14.3 ,Ti-added,7068
65,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/48,599,620,15.1 ,Ti-added,7068
66,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,150/48,588,610,13.8 ,Ti-added,7068
67,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,180/2,607,629,12.8 ,Ti-added,7068
68,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,180/2,603,628,13.4 ,Ti-added,7068
69,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,220/0.16,534,577,13.2 ,Ti-added,7068
70,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,220/0.16,470,535,13.1 ,Ti-added,7068
71,7.65 ,2.59 ,1.95 ,0.110 ,0.040 ,0.110 ,0.030 ,O,,500/0.16,O,,,281,460,11.0 ,UST,7068
72,7.65 ,2.59 ,1.95 ,0.110 ,0.040 ,0.110 ,0.030 ,O,,500/0.16,O,,,269,446,15.0 ,UST,7068
73,7.65 ,2.59 ,1.95 ,0.110 ,0.040 ,0.110 ,0.030 ,O,,500/0.16,O,,120/24,333,449,14.0 ,UST,7068
74,7.65 ,2.59 ,1.95 ,0.110 ,0.040 ,0.110 ,0.030 ,O,,500/0.16,O,,120/24,337,447,10.0 ,UST,7068
75,7.65 ,2.59 ,1.95 ,0.110 ,0.040 ,0.110 ,0.030 ,O,,500/0.16,O,450/24,120/24,665,704,13.0 ,UST,7068
76,7.65 ,2.59 ,1.95 ,0.110 ,0.040 ,0.110 ,0.030 ,O,,500/0.16,O,450/24,120/24,667,706,13.0 ,UST,7068
77,6.70 ,2.00 ,0.80 ,0.050 ,0.150 ,-,-,O,,,X,450/8,150/8,229,311,17.0 ,Al-10Ti,Prop_No1
78,6.70 ,2.00 ,0.80 ,0.050 ,0.150 ,-,-,O,,,X,450/8,150/8,225,306,11.0 ,Al-10Ti,Prop_No1
79,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,450/8,150/8,421,437,1.3 ,Al-5Ti-B,Prop_No2
80,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,450/8,150/8,422,433,1.2 ,Al-5Ti-B,Prop_No2
81,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,470/24,150/8,415,424,1.1 ,Al-5Ti-B,Prop_No2
82,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,470/24,150/8,415,425,1.1 ,Al-5Ti-B,Prop_No2
83,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,470/24,150/8,415,417,0.9 ,Al-5Ti-B,Prop_No2
84,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,470/24,120/24,401,427,1.7 ,Al-5Ti-B,Prop_No2
85,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,470/24,120/24,400,423,1.4 ,Al-5Ti-B,Prop_No2
86,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,470/24,120/24,403,426,1.6 ,Al-5Ti-B,Prop_No2
87,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,470/24,,269,347,7.2 ,Al-5Ti-B,Prop_No2
88,6.00 ,2.00 ,1.50 ,-,0.050 ,-,-,O,,,X,470/24,,258,320,4.8 ,Al-5Ti-B,Prop_No2
89,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,,105,310,37.6 ,,
90,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,,110,316,32.9 ,,
91,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,,110,314,32.7 ,,
92,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,,109,303,30.6 ,,
93,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,,118,321,35.0 ,,
94,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,553,555,11.6 ,,
95,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,470,538,11.3 ,,
